	06FP.R	24MP.R	28FP.R	29FP.R	34FP	34MP	43FPr	78MFER	AMR100_BLSE	AMR101_BLSE	AMR38	BV_ind6_BLSE1	BVind3_put1_BLSE1	BVind4_put1_BLSE1	BVind5_put1_BLSE1	C189	D143_BDX	D152_BDX	G101	HU006	HU010	HU013	HU042	HU084	HU097	HU_AP_BLSE1	HU_CH_BLSE1	K113	K138_BDX	K138_ROSE	L01_Mep1_BLSE1	L03_Mep1_BLSE1	L11_Mep1_BLSE1	LO2_MEP2	P3_PVT1	RUN73_BLSE1	RUN73_BLSE2	RUN76	RUN77	RUN79	RUN82	RUN85	SJ_BL1_BLSE1	SJ_BL2_BLSE1	SJ_M02_BLSE1	V12D_PVT1	V134_PVT1	V174_PVT1	V199_MEP4	V199_mep5_BLSE1	V213_put1_BLSE1	V237_Mep2_BLSE1	V237_mep1_BLSE1	V31_PVT1	V320_MEP3_BLSE1	V320_MEP3_BLSE2	V32_put1_BLSE1	V33_PVT1	V45_put1_BLSE1	V49_PVT1	V88_PVT1	V88_pvt2_BLSE1	ravine_daniel_epandage
AMR38	62872	47346	62861	47357	47357	47356	45141	46030	13	20	0	47129	47268	47270	47128	63435	74707	47212	72648	74789	46262	72655	74541	74548	74237	46471	63509	47185	72647	72660	47282	47276	47268	47213	46336	46284	45130	47131	47130	74715	47130	47132	47173	46267	47173	47272	47377	28551	47378	47378	46017	28549	28555	28552	46017	46013	28553	28555	46201	28553	29788	28556	28556
BV_ind6_BLSE1	61192	17826	61183	18423	18423	18422	35581	34743	47122	47133	47129	0	35363	35365	7	62363	74407	17915	71713	74206	34105	71723	74162	74171	73551	35269	61709	19358	71702	71719	17609	35371	35363	17538	33997	34160	35572	10	9	74412	9	11	11547	34106	11547	18349	18462	47183	18463	18463	33800	47181	47179	47184	33799	33795	47183	47187	34066	47185	46413	47186	47188
BVind3_put1_BLSE1	61780	35550	61773	35942	35942	35941	28858	23589	47261	47272	47268	35363	0	11	35362	63480	74885	35216	70941	75123	24169	70951	74616	74627	74289	18487	63216	35381	70905	70926	35647	9	0	35575	21261	24254	28850	35365	35364	74888	35364	35366	35487	24171	35487	34949	35759	46541	35760	35760	23301	46539	46545	46542	23301	23297	46541	46545	24160	46543	45570	46544	46546
BVind4_put1_BLSE1	61782	35552	61775	35944	35944	35943	28860	23591	47263	47274	47270	35365	11	0	35364	63482	74887	35218	70943	75125	24172	70953	74618	74629	74291	18490	63218	35383	70907	70928	35649	6	11	35577	21264	24243	28852	35367	35366	74890	35366	35368	35489	24160	35489	34951	35761	46543	35762	35762	23304	46541	46547	46544	23304	23300	46543	46547	24163	46545	45572	46546	46548
BVind5_put1_BLSE1	61191	17825	61182	18422	18422	18421	35580	34742	47121	47132	47128	7	35362	35364	0	62362	74406	17914	71712	74205	34104	71722	74161	74170	73550	35268	61708	19357	71701	71718	17608	35370	35362	17537	33996	34159	35571	9	8	74411	8	10	11546	34105	11546	18348	18461	47182	18462	18462	33799	47180	47178	47183	33798	33794	47182	47186	34065	47184	46412	47185	47187
C189	40700	62797	40691	62555	62555	62554	63732	63271	63430	63441	63435	62363	63480	63482	62362	0	74410	62567	72389	73995	63249	72399	74265	74280	74185	63337	4159	62769	72387	72390	62855	63488	63480	62786	63001	63244	63723	62363	62362	74415	62362	62364	62793	63249	62793	62418	62856	63664	62859	62859	63048	63662	63659	63665	63048	63044	63666	63668	63166	63666	63448	63669	63669
D143_BDX	73943	74315	73934	74627	74627	74628	74754	74855	74702	74713	74707	74407	74885	74887	74406	74410	0	74708	34165	31763	74363	34173	595	615	6916	74461	74194	74354	34152	34145	74658	74893	74885	74589	74621	74276	74744	74409	74408	88	74408	74410	74451	74365	74451	74593	74608	74602	74610	74609	74726	74599	74601	74603	74726	74722	74604	74606	74206	74604	74570	74607	74607
D152_BDX	61443	18436	61434	18803	18803	18802	35459	34377	47207	47216	47212	17915	35216	35218	17914	62567	74708	0	72226	74767	33732	72236	74474	74483	73924	34928	62586	18881	72219	72238	17806	35224	35216	17735	33524	33754	35452	17917	17916	74711	17916	17918	17521	33733	17521	18400	18378	46815	18379	18379	33452	46813	46811	46816	33451	33447	46817	46819	33661	46817	46155	46820	46820
G101	72520	71903	72509	72127	72129	72128	72752	71818	72643	72654	72648	71713	70941	70943	71712	72389	34165	72226	0	27761	71416	71	34523	34536	33138	70475	72115	71979	292	273	72280	70949	70941	72217	71299	71384	72744	71715	71714	34167	71714	71716	71937	71413	71937	71841	72110	72599	72113	72112	71440	72597	72599	72600	71440	71436	72601	72603	71302	72601	72360	72604	72604
HU006	73752	74436	73745	74502	74504	74503	75053	75150	74784	74795	74789	74206	75123	75125	74205	73995	31763	74767	27761	0	74804	27767	31916	31929	31905	74577	73576	74567	27696	27683	74819	75131	75123	74746	74871	74766	75043	74208	74207	31763	74207	74209	74495	74804	74495	74571	74622	74893	74624	74623	74909	74890	74892	74894	74909	74905	74895	74897	74692	74895	74819	74898	74898
HU010	61990	34656	61981	34909	34909	34908	24526	20554	46255	46266	46262	34105	24169	24172	34104	63249	74363	33732	71416	74804	0	71426	74047	74056	73856	23851	63330	33794	71356	71377	34577	24178	24169	34509	23383	857	24517	34107	34106	74364	34106	34108	34039	162	34039	34389	34996	45901	34997	34997	23480	45899	45897	45902	23479	23475	45901	45905	776	45903	45024	45904	45906
HU013	72530	71913	72519	72137	72139	72138	72762	71828	72650	72661	72655	71723	70951	70953	71722	72399	34173	72236	71	27767	71426	0	34531	34544	33146	70485	72125	71989	287	268	72290	70959	70951	72227	71308	71394	72754	71725	71724	34175	71724	71726	71947	71423	71947	71851	72120	72606	72123	72122	71450	72604	72606	72607	71450	71446	72608	72610	71312	72608	72367	72611	72611
HU042	73796	74080	73787	74405	74405	74406	74601	74533	74536	74547	74541	74162	74616	74618	74161	74265	595	74474	34523	31916	74047	34531	0	68	7355	74187	74133	74096	34510	34503	74421	74624	74616	74352	74313	73960	74589	74164	74163	609	74163	74165	74207	74049	74207	74371	74386	74429	74388	74387	74406	74426	74428	74430	74406	74402	74431	74433	73890	74431	74397	74434	74434
HU084	73806	74089	73797	74414	74414	74415	74614	74546	74543	74554	74548	74171	74627	74629	74170	74280	615	74483	34536	31929	74056	34544	68	0	7371	74200	74146	74103	34523	34516	74430	74635	74627	74361	74324	73969	74602	74173	74172	625	74172	74174	74216	74058	74216	74380	74395	74436	74397	74396	74417	74433	74435	74437	74417	74413	74438	74440	73899	74438	74404	74441	74441
HU097	73763	73651	73754	73844	73844	73845	74166	74274	74232	74243	74237	73551	74289	74291	73550	74185	6916	73924	33138	31905	73856	33146	7355	7371	0	73892	73930	73606	33107	33082	73930	74297	74289	73862	74041	73779	74156	73553	73552	6930	73552	73554	73694	73854	73694	73946	73899	74018	73901	73900	74112	74015	74017	74019	74112	74108	74020	74022	73705	74020	74062	74023	74023
HU_AP_BLSE1	62115	35484	62108	35784	35784	35783	27990	23191	46464	46475	46471	35269	18487	18490	35268	63337	74461	34928	70475	74577	23851	70485	74187	74200	73892	0	63314	35117	70476	70497	35359	18496	18487	35288	21270	23855	27978	35271	35270	74462	35270	35272	35074	23854	35074	35349	35768	45491	35769	35769	22461	45489	45496	45492	22461	22457	45491	45495	23759	45493	45096	45494	45496
HU_CH_BLSE1	41722	62729	41713	62969	62969	62968	63618	63156	63504	63515	63509	61709	63216	63218	61708	4159	74194	62586	72115	73576	63330	72125	74133	74146	73930	63314	0	62620	72120	72123	62698	63224	63216	62629	62871	63270	63611	61709	61708	74201	61708	61710	62779	63330	62779	62406	62742	63700	62745	62745	62976	63698	63705	63701	62976	62972	63702	63704	63190	63702	63455	63705	63705
K113	61556	19444	61547	18711	18711	18710	35659	34468	47178	47189	47185	19358	35381	35383	19357	62769	74354	18881	71979	74567	33794	71989	74096	74103	73606	35117	62620	0	71960	71982	18670	35389	35381	18599	33889	33840	35652	19360	19359	74359	19359	19361	19275	33797	19275	18209	18317	46911	18318	18318	33922	46909	46907	46912	33921	33917	46911	46915	33751	46913	46219	46914	46916
K138_BDX	72523	71898	72512	72105	72107	72106	72729	71784	72642	72653	72647	71702	70905	70907	71701	72387	34152	72219	292	27696	71356	287	34510	34523	33107	70476	72120	71960	0	43	72279	70913	70905	72216	71269	71324	72721	71704	71703	34154	71703	71705	71932	71353	71932	71830	72092	72564	72095	72094	71427	72562	72564	72565	71427	71423	72566	72568	71242	72566	72376	72569	72569
K138_ROSE	72532	71916	72521	72122	72124	72123	72750	71805	72655	72666	72660	71719	70926	70928	71718	72390	34145	72238	273	27683	71377	268	34503	34516	33082	70497	72123	71982	43	0	72297	70934	70926	72234	71290	71345	72742	71721	71720	34147	71720	71722	71951	71374	71951	71847	72109	72579	72112	72111	71448	72577	72579	72580	71448	71444	72581	72583	71263	72581	72391	72584	72584
L01_Mep1_BLSE1	61673	16422	61666	18054	18054	18053	35825	34726	47275	47286	47282	17609	35647	35649	17608	62855	74658	17806	72280	74819	34577	72290	74421	74430	73930	35359	62698	18670	72279	72297	0	35655	35647	268	34401	34597	35814	17611	17610	74661	17610	17612	17286	34578	17286	17779	17548	47021	17551	17549	34042	47019	47017	47022	34041	34037	47021	47025	34501	47023	46515	47024	47026
L03_Mep1_BLSE1	61788	35558	61781	35950	35950	35949	28866	23597	47269	47280	47276	35371	9	6	35370	63488	74893	35224	70949	75131	24178	70959	74624	74635	74297	18496	63224	35389	70913	70934	35655	0	9	35583	21270	24249	28858	35373	35372	74896	35372	35374	35495	24166	35495	34957	35767	46549	35768	35768	23310	46547	46549	46550	23310	23306	46549	46553	24169	46551	45578	46552	46554
L11_Mep1_BLSE1	61780	35550	61773	35942	35942	35941	28858	23589	47261	47272	47268	35363	0	11	35362	63480	74885	35216	70941	75123	24169	70951	74616	74627	74289	18487	63216	35381	70905	70926	35647	9	0	35575	21261	24254	28850	35365	35364	74888	35364	35366	35487	24171	35487	34949	35759	46541	35760	35760	23301	46539	46545	46542	23301	23297	46541	46545	24160	46543	45570	46544	46546
LO2_MEP2	61607	16351	61600	17984	17984	17983	35758	34659	47206	47217	47213	17538	35575	35577	17537	62786	74589	17735	72217	74746	34509	72227	74352	74361	73862	35288	62629	18599	72216	72234	268	35583	35575	0	34332	34529	35747	17540	17539	74592	17539	17541	17216	34510	17216	17709	17478	46950	17481	17479	33970	46948	46946	46951	33969	33965	46950	46954	34433	46952	46444	46953	46955
P3_PVT1	61399	34351	61390	34459	34459	34458	27099	20708	46329	46340	46336	33997	21261	21264	33996	63001	74621	33524	71299	74871	23383	71308	74313	74324	74041	21270	62871	33889	71269	71290	34401	21270	21261	34332	0	23424	27091	33999	33998	74624	33998	34000	33841	23387	33841	33769	34415	45937	34416	34416	16313	45935	45941	45938	16313	16309	45937	45941	23335	45939	44981	45940	45942
RUN73_BLSE1	62065	34688	62056	34987	34987	34986	24328	20568	46277	46288	46284	34160	24254	24243	34159	63244	74276	33754	71384	74766	857	71394	73960	73969	73779	23855	63270	33840	71324	71345	34597	24249	24254	34529	23424	0	24319	34162	34161	74277	34161	34163	34092	853	34092	34470	35074	45924	35075	35075	23521	45922	45920	45925	23520	23516	45924	45928	401	45926	45049	45927	45929
RUN73_BLSE2	62720	36031	62711	36245	36245	36244	93	20110	45123	45134	45130	35572	28850	28852	35571	63723	74744	35452	72744	75043	24517	72754	74589	74602	74156	27978	63611	35652	72721	72742	35814	28858	28850	35747	27091	24319	0	35574	35573	74747	35573	35575	35709	24520	35709	35724	36401	44589	36405	36404	26462	44587	44585	44590	26461	26457	44589	44593	24229	44591	43807	44592	44594
RUN76	61191	17828	61182	18425	18425	18424	35583	34745	47124	47135	47131	10	35365	35367	9	62363	74409	17917	71715	74208	34107	71725	74164	74173	73553	35271	61709	19360	71704	71721	17611	35373	35365	17540	33999	34162	35574	0	1	74414	1	3	11549	34108	11549	18351	18464	47185	18465	18465	33802	47183	47181	47186	33801	33797	47185	47189	34068	47187	46415	47188	47190
RUN77	61191	17827	61182	18424	18424	18423	35582	34744	47123	47134	47130	9	35364	35366	8	62362	74408	17916	71714	74207	34106	71724	74163	74172	73552	35270	61708	19359	71703	71720	17610	35372	35364	17539	33998	34161	35573	1	0	74413	0	2	11548	34107	11548	18350	18463	47184	18464	18464	33801	47182	47180	47185	33800	33796	47184	47188	34067	47186	46414	47187	47189
RUN79	73944	74318	73935	74630	74630	74631	74757	74858	74710	74721	74715	74412	74888	74890	74411	74415	88	74711	34167	31763	74364	34175	609	625	6930	74462	74201	74359	34154	34147	74661	74896	74888	74592	74624	74277	74747	74414	74413	0	74413	74415	74456	74366	74456	74596	74611	74605	74613	74612	74727	74602	74604	74606	74727	74723	74607	74609	74207	74607	74573	74610	74610
RUN82	61191	17827	61182	18424	18424	18423	35582	34744	47123	47134	47130	9	35364	35366	8	62362	74408	17916	71714	74207	34106	71724	74163	74172	73552	35270	61708	19359	71703	71720	17610	35372	35364	17539	33998	34161	35573	1	0	74413	0	2	11548	34107	11548	18350	18463	47184	18464	18464	33801	47182	47180	47185	33800	33796	47184	47188	34067	47186	46414	47187	47189
RUN85	61193	17829	61184	18426	18426	18425	35584	34746	47125	47136	47132	11	35366	35368	10	62364	74410	17918	71716	74209	34108	71726	74165	74174	73554	35272	61710	19361	71705	71722	17612	35374	35366	17541	34000	34163	35575	3	2	74415	2	0	11550	34109	11550	18352	18465	47186	18466	18466	33803	47184	47182	47187	33802	33798	47186	47190	34069	47188	46416	47189	47191
SJ_BL1_BLSE1	61313	17641	61306	16862	16862	16861	35718	34824	47168	47177	47173	11547	35487	35489	11546	62793	74451	17521	71937	74495	34039	71947	74207	74216	73694	35074	62779	19275	71932	71951	17286	35495	35487	17216	33841	34092	35709	11549	11548	74456	11548	11550	0	34040	0	16536	16552	47340	16555	16553	33734	47338	47336	47341	33733	33729	47342	47344	33999	47342	46620	47345	47345
SJ_BL2_BLSE1	61994	34658	61985	34913	34913	34912	24529	20557	46260	46271	46267	34106	24171	24160	34105	63249	74365	33733	71413	74804	162	71423	74049	74058	73854	23854	63330	33797	71353	71374	34578	24166	24171	34510	23387	853	24520	34108	34107	74366	34107	34109	34040	0	34040	34393	35000	45907	35001	35001	23483	45905	45903	45908	23482	23478	45907	45911	786	45909	45030	45910	45912
SJ_M02_BLSE1	61313	17641	61306	16862	16862	16861	35718	34824	47168	47177	47173	11547	35487	35489	11546	62793	74451	17521	71937	74495	34039	71947	74207	74216	73694	35074	62779	19275	71932	71951	17286	35495	35487	17216	33841	34092	35709	11549	11548	74456	11548	11550	0	34040	0	16536	16552	47340	16555	16553	33734	47338	47336	47341	33733	33729	47342	47344	33999	47342	46620	47345	47345
V12D_PVT1	60996	18183	60989	3016	3016	3015	35737	34795	47265	47276	47272	18349	34949	34951	18348	62418	74593	18400	71841	74571	34389	71851	74371	74380	73946	35349	62406	18209	71830	71847	17779	34957	34949	17709	33769	34470	35724	18351	18350	74596	18350	18352	16536	34393	16536	0	2957	47129	2960	2958	34432	47127	47125	47130	34431	34427	47129	47133	34377	47131	46616	47132	47134
V134_PVT1	61189	18267	61182	2193	2193	2192	36414	35533	47370	47381	47377	18462	35759	35761	18461	62856	74608	18378	72110	74622	34996	72120	74386	74395	73899	35768	62742	18317	72092	72109	17548	35767	35759	17478	34415	35074	36401	18464	18463	74611	18463	18465	16552	35000	16552	2957	0	47345	7	5	34890	47343	47349	47346	34889	34885	47345	47349	34981	47347	46718	47348	47350
V174_PVT1	62816	47300	62805	47411	47411	47410	44599	45875	28546	28557	28551	47183	46541	46543	47182	63664	74602	46815	72599	74893	45901	72606	74429	74436	74018	45491	63700	46911	72564	72579	47021	46549	46541	46950	45937	45924	44589	47185	47184	74605	47184	47186	47340	45907	47340	47129	47345	0	47346	47346	45960	16	21	9	45959	45955	10	12	45841	10	5381	15	13
V199_MEP4	61192	18268	61185	2196	2196	2195	36418	35536	47371	47382	47378	18463	35760	35762	18462	62859	74610	18379	72113	74624	34997	72123	74388	74397	73901	35769	62745	18318	72095	72112	17551	35768	35760	17481	34416	35075	36405	18465	18464	74613	18464	18466	16555	35001	16555	2960	7	47346	0	6	34891	47344	47350	47347	34890	34886	47346	47350	34982	47348	46719	47349	47351
V199_mep5_BLSE1	61192	18268	61185	2194	2194	2193	36417	35536	47371	47382	47378	18463	35760	35762	18462	62859	74609	18379	72112	74623	34997	72122	74387	74396	73900	35769	62745	18318	72094	72111	17549	35768	35760	17479	34416	35075	36404	18465	18464	74612	18464	18466	16553	35001	16553	2958	5	47346	6	0	34891	47344	47350	47347	34890	34886	47346	47350	34982	47348	46719	47349	47351
V213_put1_BLSE1	61582	34437	61573	35067	35067	35066	26471	20480	46010	46021	46017	33800	23301	23304	33799	63048	74726	33452	71440	74909	23480	71450	74406	74417	74112	22461	62976	33922	71427	71448	34042	23310	23301	33970	16313	23521	26462	33802	33801	74727	33801	33803	33734	23483	33734	34432	34890	45960	34891	34891	0	45958	45956	45961	9	5	45960	45964	23433	45962	45205	45963	45965
V237_Mep2_BLSE1	62814	47298	62803	47409	47409	47408	44597	45873	28544	28555	28549	47181	46539	46541	47180	63662	74599	46813	72597	74890	45899	72604	74426	74433	74015	45489	63698	46909	72562	72577	47019	46547	46539	46948	45935	45922	44587	47183	47182	74602	47182	47184	47338	45905	47338	47127	47343	16	47344	47344	45958	0	13	17	45957	45953	18	20	45839	18	5381	21	21
V237_mep1_BLSE1	62820	47296	62809	47415	47415	47414	44595	45871	28550	28561	28555	47179	46545	46547	47178	63659	74601	46811	72599	74892	45897	72606	74428	74435	74017	45496	63705	46907	72564	72579	47017	46549	46545	46946	45941	45920	44585	47181	47180	74604	47180	47182	47336	45903	47336	47125	47349	21	47350	47350	45956	13	0	22	45955	45951	23	25	45837	23	5385	28	26
V31_PVT1	62817	47301	62806	47412	47412	47411	44600	45876	28547	28558	28552	47184	46542	46544	47183	63665	74603	46816	72600	74894	45902	72607	74430	74437	74019	45492	63701	46912	72565	72580	47022	46550	46542	46951	45938	45925	44590	47186	47185	74606	47185	47187	47341	45908	47341	47130	47346	9	47347	47347	45961	17	22	0	45960	45956	1	3	45842	3	5382	6	4
V320_MEP3_BLSE1	61581	34436	61572	35066	35066	35065	26470	20479	46010	46021	46017	33799	23301	23304	33798	63048	74726	33451	71440	74909	23479	71450	74406	74417	74112	22461	62976	33921	71427	71448	34041	23310	23301	33969	16313	23520	26461	33801	33800	74727	33800	33802	33733	23482	33733	34431	34889	45959	34890	34890	9	45957	45955	45960	0	4	45959	45963	23432	45961	45204	45962	45964
V320_MEP3_BLSE2	61577	34432	61568	35062	35062	35061	26466	20475	46006	46017	46013	33795	23297	23300	33794	63044	74722	33447	71436	74905	23475	71446	74402	74413	74108	22457	62972	33917	71423	71444	34037	23306	23297	33965	16309	23516	26457	33797	33796	74723	33796	33798	33729	23478	33729	34427	34885	45955	34886	34886	5	45953	45951	45956	4	0	45955	45959	23428	45957	45200	45958	45960
V32_put1_BLSE1	62818	47300	62807	47411	47411	47410	44599	45875	28546	28559	28553	47183	46541	46543	47182	63666	74604	46817	72601	74895	45901	72608	74431	74438	74020	45491	63702	46911	72566	72581	47021	46549	46541	46950	45937	45924	44589	47185	47184	74607	47184	47186	47342	45907	47342	47129	47345	10	47346	47346	45960	18	23	1	45959	45955	0	4	45841	4	5383	5	5
V33_PVT1	62820	47304	62809	47415	47415	47414	44603	45879	28550	28561	28555	47187	46545	46547	47186	63668	74606	46819	72603	74897	45905	72610	74433	74440	74022	45495	63704	46915	72568	72583	47025	46553	46545	46954	45941	45928	44593	47189	47188	74609	47188	47190	47344	45911	47344	47133	47349	12	47350	47350	45964	20	25	3	45963	45959	4	0	45845	6	5385	7	7
V45_put1_BLSE1	61984	34593	61975	34894	34894	34893	24238	20482	46194	46205	46201	34066	24160	24163	34065	63166	74206	33661	71302	74692	776	71312	73890	73899	73705	23759	63190	33751	71242	71263	34501	24169	24160	34433	23335	401	24229	34068	34067	74207	34067	34069	33999	786	33999	34377	34981	45841	34982	34982	23433	45839	45837	45842	23432	23428	45841	45845	0	45843	44961	45844	45846
V49_PVT1	62818	47302	62807	47413	47413	47412	44601	45877	28548	28559	28553	47185	46543	46545	47184	63666	74604	46817	72601	74895	45903	72608	74431	74438	74020	45493	63702	46913	72566	72581	47023	46551	46543	46952	45939	45926	44591	47187	47186	74607	47186	47188	47342	45909	47342	47131	47347	10	47348	47348	45962	18	23	3	45961	45957	4	6	45843	0	5383	9	7
V88_PVT1	63013	46732	63002	46830	46830	46829	43817	45055	29783	29794	29788	46413	45570	45572	46412	63448	74570	46155	72360	74819	45024	72367	74397	74404	74062	45096	63455	46219	72376	72391	46515	45578	45570	46444	44981	45049	43807	46415	46414	74573	46414	46416	46620	45030	46620	46616	46718	5381	46719	46719	45205	5381	5385	5382	45204	45200	5383	5385	44961	5383	0	5388	5386
V88_pvt2_BLSE1	62821	47303	62810	47414	47414	47413	44602	45878	28549	28562	28556	47186	46544	46546	47185	63669	74607	46820	72604	74898	45904	72611	74434	74441	74023	45494	63705	46914	72569	72584	47024	46552	46544	46953	45940	45927	44592	47188	47187	74610	47187	47189	47345	45910	47345	47132	47348	15	47349	47349	45963	21	28	6	45962	45958	5	7	45844	9	5388	0	10
ravine_daniel_epandage	62819	47305	62808	47416	47416	47415	44604	45880	28551	28562	28556	47188	46546	46548	47187	63669	74607	46820	72604	74898	45906	72611	74434	74441	74023	45496	63705	46916	72569	72584	47026	46554	46546	46955	45942	45929	44594	47190	47189	74610	47189	47191	47345	45912	47345	47134	47350	13	47351	47351	45965	21	26	4	45964	45960	5	7	45846	7	5386	10	0
