	43FPb	55FP	78MFEB	C113	COQDECOMBAT2_BLSE1	HU003	L105	R120_TURQ	SJ_BL1_BLSE2	SJ_BL1_BLSE3	SJ_BL1_BLSE4	SJ_BL1_BLSE5	SJ_BL2_BLSE2	SJ_BL2_BLSE3	SJ_BL2_BLSE4	SJ_BL2_BLSE5	SJ_BL2_BLSE6	SJ_C_BLSE1	SJ_C_BLSE2	SJ_C_BLSE3	SJ_C_BLSE4	SJ_C_BLSE5	SJ_MO1_BLSE1	SJ_MO1_BLSE2	SJ_MO1_BLSE3	SJ_MO1_BLSE4	SJ_MO2_BLSE2	SJ_MO2_BLSE3	SJ_MO2_BLSE4	SJ_MO2_BLSE5	SJ_MO3_BLSE1	SJ_MO3_BLSE2	SJ_MO3_BLSE3	SJ_MO3_BLSE4	SJ_MO3_BLSE5	SJ_MO4_BLSE1	SJ_MO4_BLSE2	SJ_MO4_BLSE3	SJ_MO4_BLSE4	SJ_VC_BLSE1	SJ_VC_BLSE2	SJ_VC_BLSE3	SJ_VC_BLSE4	SJ_VC_BLSE5	SJ_VP_BLSE1	SJ_VP_BLSE2	SJ_VP_BLSE3	SJ_VP_BLSE4	SJ_VP_BLSE5	V110_put1_BLSE1	V120_HEP5	V120_MEP4	V281_Mep1_BLSE2	V281_Mep2_BLSE1	X013	X021A	X021B	X043
SJ_BL2_BLSE4	21776	203990	20589	21693	204022	21538	21189	20641	5	6	10	7	7	18	0	17	7	4	8	15	12	11	21192	21191	21192	21191	12	12	11	6	9	21550	19	21550	7	21549	21550	21550	21549	7	21550	15	13	8	21555	21550	21555	21550	21551	202401	21623	21625	21777	21772	21196	21194	21194	21196
SJ_BL2_BLSE5	21785	203999	20598	21702	204031	21547	21198	20650	12	17	17	18	14	21	17	0	18	13	15	18	25	14	21201	21200	21201	21200	15	13	20	17	20	21559	20	21559	14	21558	21559	21559	21558	16	21559	20	20	21	21564	21559	21564	21559	21560	202412	21632	21634	21786	21781	21205	21203	21203	21205
SJ_BL2_BLSE6	21777	203991	20590	21694	204023	21539	21190	20642	6	5	11	8	8	19	7	18	0	5	7	16	15	10	21193	21192	21193	21192	13	13	12	9	8	21551	20	21551	8	21550	21551	21551	21550	6	21551	14	12	7	21556	21551	21556	21551	21552	202402	21624	21626	21778	21773	21197	21195	21195	21197
SJ_C_BLSE1	21772	203986	20585	21689	204018	21534	21185	20637	1	4	6	5	3	14	4	13	5	0	4	11	12	7	21188	21187	21188	21187	8	8	7	4	7	21546	15	21546	3	21545	21546	21546	21545	3	21546	11	9	8	21551	21546	21551	21546	21547	202399	21619	21621	21773	21768	21192	21190	21190	21192
SJ_C_BLSE2	21776	203990	20589	21693	204022	21538	21189	20641	5	8	10	9	5	18	8	15	7	4	0	13	16	7	21192	21191	21192	21191	10	10	11	8	11	21550	19	21550	5	21549	21550	21550	21549	5	21550	11	11	10	21555	21550	21555	21550	21551	202403	21623	21625	21777	21772	21196	21194	21194	21196
SJ_C_BLSE3	21783	203997	20596	21700	204029	21545	21196	20648	12	15	17	16	12	23	15	18	16	11	13	0	23	16	21199	21198	21199	21198	15	15	18	15	18	21557	22	21557	12	21556	21557	21557	21556	14	21557	18	20	19	21562	21557	21562	21557	21558	202410	21630	21632	21784	21779	21203	21201	21201	21203
SJ_C_BLSE4	21774	203987	20589	21701	204019	21546	21189	20649	13	16	18	17	15	16	12	25	15	12	16	23	0	19	21192	21191	21192	21191	20	20	19	16	19	21558	17	21558	15	21557	21558	21558	21557	15	21558	23	21	18	21553	21558	21553	21558	21559	202400	21631	21633	21775	21780	21196	21194	21194	21196
SJ_C_BLSE5	21779	203993	20592	21696	204025	21541	21192	20644	8	11	11	12	8	19	11	14	10	7	7	16	19	0	21195	21194	21195	21194	13	13	12	11	14	21553	20	21553	10	21552	21553	21553	21552	8	21553	12	14	13	21558	21553	21558	21553	21554	202406	21626	21628	21780	21775	21199	21197	21197	21199
SJ_MO1_BLSE1	20538	204020	21597	20144	204069	20736	23	21004	21189	21192	21194	21193	21191	21194	21192	21201	21193	21188	21192	21199	21192	21195	0	1	2	1	21196	21196	21195	21192	21195	21952	21195	21952	21191	21951	21952	21952	21951	21191	21952	21199	21197	21196	21949	21952	21949	21952	21953	202491	10303	10305	20537	20542	32	30	30	32
SJ_MO1_BLSE2	20537	204019	21596	20143	204068	20735	22	21003	21188	21191	21193	21192	21190	21193	21191	21200	21192	21187	21191	21198	21191	21194	1	0	1	0	21195	21195	21194	21191	21194	21951	21194	21951	21190	21950	21951	21951	21950	21190	21951	21198	21196	21195	21948	21951	21948	21951	21952	202490	10302	10304	20536	20541	31	29	29	31
SJ_MO1_BLSE3	20538	204020	21597	20144	204069	20736	23	21004	21189	21192	21194	21193	21191	21194	21192	21201	21193	21188	21192	21199	21192	21195	2	1	0	1	21196	21196	21195	21192	21195	21952	21195	21952	21191	21951	21952	21952	21951	21191	21952	21199	21197	21196	21949	21952	21949	21952	21953	202491	10303	10305	20537	20542	32	30	30	32
SJ_MO1_BLSE4	20537	204019	21596	20143	204068	20735	22	21003	21188	21191	21193	21192	21190	21193	21191	21200	21192	21187	21191	21198	21191	21194	1	0	1	0	21195	21195	21194	21191	21194	21951	21194	21951	21190	21950	21951	21951	21950	21190	21951	21198	21196	21195	21948	21951	21948	21951	21952	202490	10302	10304	20536	20541	31	29	29	31
SJ_MO2_BLSE2	21780	203994	20593	21697	204026	21542	21193	20645	9	12	10	13	9	16	12	15	13	8	10	15	20	13	21196	21195	21196	21195	0	6	13	10	15	21554	21	21554	7	21553	21554	21554	21553	11	21554	11	17	16	21559	21554	21559	21554	21555	202407	21627	21629	21781	21776	21200	21198	21198	21200
SJ_MO2_BLSE3	21780	203994	20593	21697	204026	21542	21193	20645	7	12	10	13	9	18	12	13	13	8	10	15	20	13	21196	21195	21196	21195	6	0	13	10	15	21554	19	21554	9	21553	21554	21554	21553	11	21554	11	13	16	21559	21554	21559	21554	21555	202407	21627	21629	21781	21776	21200	21198	21198	21200
SJ_MO2_BLSE4	21779	203993	20592	21696	204025	21541	21192	20644	8	11	9	10	10	17	11	20	12	7	11	18	19	12	21195	21194	21195	21194	13	13	0	9	12	21553	20	21553	10	21552	21553	21553	21552	8	21553	18	16	15	21558	21553	21558	21553	21554	202406	21626	21628	21780	21775	21199	21197	21197	21199
SJ_MO2_BLSE5	21776	203990	20589	21693	204022	21538	21189	20641	5	8	8	7	7	16	6	17	9	4	8	15	16	11	21192	21191	21192	21191	10	10	9	0	11	21550	19	21550	7	21549	21550	21550	21549	7	21550	15	13	12	21555	21550	21555	21550	21551	202403	21623	21625	21777	21772	21196	21194	21194	21196
SJ_MO3_BLSE1	21779	203993	20592	21696	204025	21541	21192	20644	8	9	13	8	10	19	9	20	8	7	11	18	19	14	21195	21194	21195	21194	15	15	12	11	0	21553	22	21553	10	21552	21553	21553	21552	8	21553	18	16	11	21558	21553	21558	21553	21554	202404	21626	21628	21780	21775	21199	21197	21197	21199
SJ_MO3_BLSE2	22163	204170	21975	21983	204215	22106	21949	21703	21547	21550	21552	21551	21549	21560	21550	21559	21551	21546	21550	21557	21558	21553	21952	21951	21952	21951	21554	21554	21553	21550	21553	0	21561	0	21549	1	0	0	1	21549	0	21557	21555	21554	5	0	5	0	1	202479	21891	21893	22162	22159	21956	21954	21954	21956
SJ_MO3_BLSE3	21777	203992	20592	21704	204024	21549	21192	20652	14	19	19	20	18	13	19	20	20	15	19	22	17	20	21195	21194	21195	21194	21	19	20	19	22	21561	0	21561	18	21560	21561	21561	21560	18	21561	24	22	23	21556	21561	21556	21561	21562	202405	21634	21636	21778	21783	21199	21197	21197	21199
SJ_MO3_BLSE4	22163	204170	21975	21983	204215	22106	21949	21703	21547	21550	21552	21551	21549	21560	21550	21559	21551	21546	21550	21557	21558	21553	21952	21951	21952	21951	21554	21554	21553	21550	21553	0	21561	0	21549	1	0	0	1	21549	0	21557	21555	21554	5	0	5	0	1	202479	21891	21893	22162	22159	21956	21954	21954	21956
SJ_MO3_BLSE5	21775	203989	20588	21692	204021	21537	21188	20640	4	7	9	8	6	15	7	14	8	3	5	12	15	10	21191	21190	21191	21190	7	9	10	7	10	21549	18	21549	0	21548	21549	21549	21548	6	21549	12	12	11	21554	21549	21554	21549	21550	202402	21622	21624	21776	21771	21195	21193	21193	21195
SJ_MO4_BLSE1	22162	204169	21974	21982	204214	22105	21948	21702	21546	21549	21551	21550	21548	21559	21549	21558	21550	21545	21549	21556	21557	21552	21951	21950	21951	21950	21553	21553	21552	21549	21552	1	21560	1	21548	0	1	1	0	21548	1	21556	21554	21553	6	1	6	1	2	202478	21890	21892	22161	22158	21955	21953	21953	21955
SJ_MO4_BLSE2	22163	204170	21975	21983	204215	22106	21949	21703	21547	21550	21552	21551	21549	21560	21550	21559	21551	21546	21550	21557	21558	21553	21952	21951	21952	21951	21554	21554	21553	21550	21553	0	21561	0	21549	1	0	0	1	21549	0	21557	21555	21554	5	0	5	0	1	202479	21891	21893	22162	22159	21956	21954	21954	21956
SJ_MO4_BLSE3	22163	204170	21975	21983	204215	22106	21949	21703	21547	21550	21552	21551	21549	21560	21550	21559	21551	21546	21550	21557	21558	21553	21952	21951	21952	21951	21554	21554	21553	21550	21553	0	21561	0	21549	1	0	0	1	21549	0	21557	21555	21554	5	0	5	0	1	202479	21891	21893	22162	22159	21956	21954	21954	21956
SJ_MO4_BLSE4	22162	204169	21974	21982	204214	22105	21948	21702	21546	21549	21551	21550	21548	21559	21549	21558	21550	21545	21549	21556	21557	21552	21951	21950	21951	21950	21553	21553	21552	21549	21552	1	21560	1	21548	0	1	1	0	21548	1	21556	21554	21553	6	1	6	1	2	202478	21890	21892	22161	22158	21955	21953	21953	21955
SJ_VC_BLSE1	21775	203987	20588	21692	204021	21537	21188	20640	4	7	9	6	6	15	7	16	6	3	5	14	15	8	21191	21190	21191	21190	11	11	8	7	8	21549	18	21549	6	21548	21549	21549	21548	0	21549	10	8	7	21554	21549	21554	21549	21550	202402	21622	21624	21776	21771	21195	21193	21193	21195
SJ_VC_BLSE2	22163	204170	21975	21983	204215	22106	21949	21703	21547	21550	21552	21551	21549	21560	21550	21559	21551	21546	21550	21557	21558	21553	21952	21951	21952	21951	21554	21554	21553	21550	21553	0	21561	0	21549	1	0	0	1	21549	0	21557	21555	21554	5	0	5	0	1	202479	21891	21893	22162	22159	21956	21954	21954	21956
SJ_VC_BLSE3	21783	203995	20596	21700	204029	21545	21196	20648	10	15	17	16	10	25	15	20	14	11	11	18	23	12	21199	21198	21199	21198	11	11	18	15	18	21557	24	21557	12	21556	21557	21557	21556	10	21557	0	12	15	21562	21557	21562	21557	21558	202410	21630	21632	21784	21779	21203	21201	21201	21203
SJ_VC_BLSE4	21781	203993	20594	21698	204027	21543	21194	20646	8	13	13	12	12	23	13	20	12	9	11	20	21	14	21197	21196	21197	21196	17	13	16	13	16	21555	22	21555	12	21554	21555	21555	21554	8	21555	12	0	13	21560	21555	21560	21555	21556	202408	21628	21630	21782	21777	21201	21199	21199	21201
SJ_VC_BLSE5	21780	203992	20593	21697	204026	21542	21193	20645	9	10	14	11	11	22	8	21	7	8	10	19	18	13	21196	21195	21196	21195	16	16	15	12	11	21554	23	21554	11	21553	21554	21554	21553	7	21554	15	13	0	21559	21554	21559	21554	21555	202405	21627	21629	21781	21776	21200	21198	21198	21200
SJ_VP_BLSE1	22158	204166	21972	21988	204211	22111	21946	21708	21552	21555	21557	21556	21554	21555	21555	21564	21556	21551	21555	21562	21553	21558	21949	21948	21949	21948	21559	21559	21558	21555	21558	5	21556	5	21554	6	5	5	6	21554	5	21562	21560	21559	0	5	0	5	6	202475	21896	21898	22157	22164	21953	21951	21951	21953
SJ_VP_BLSE2	22163	204170	21975	21983	204215	22106	21949	21703	21547	21550	21552	21551	21549	21560	21550	21559	21551	21546	21550	21557	21558	21553	21952	21951	21952	21951	21554	21554	21553	21550	21553	0	21561	0	21549	1	0	0	1	21549	0	21557	21555	21554	5	0	5	0	1	202479	21891	21893	22162	22159	21956	21954	21954	21956
SJ_VP_BLSE3	22158	204166	21972	21988	204211	22111	21946	21708	21552	21555	21557	21556	21554	21555	21555	21564	21556	21551	21555	21562	21553	21558	21949	21948	21949	21948	21559	21559	21558	21555	21558	5	21556	5	21554	6	5	5	6	21554	5	21562	21560	21559	0	5	0	5	6	202475	21896	21898	22157	22164	21953	21951	21951	21953
SJ_VP_BLSE4	22163	204170	21975	21983	204215	22106	21949	21703	21547	21550	21552	21551	21549	21560	21550	21559	21551	21546	21550	21557	21558	21553	21952	21951	21952	21951	21554	21554	21553	21550	21553	0	21561	0	21549	1	0	0	1	21549	0	21557	21555	21554	5	0	5	0	1	202479	21891	21893	22162	22159	21956	21954	21954	21956
SJ_VP_BLSE5	22164	204171	21976	21984	204216	22107	21950	21704	21548	21551	21553	21552	21550	21561	21551	21560	21552	21547	21551	21558	21559	21554	21953	21952	21953	21952	21555	21555	21554	21551	21554	1	21562	1	21550	2	1	1	2	21550	1	21558	21556	21555	6	1	6	1	0	202480	21892	21894	22163	22160	21957	21955	21955	21957
V110_put1_BLSE1	202493	104726	202420	202736	104604	202551	202484	202944	202400	202401	202405	202402	202402	202404	202401	202412	202402	202399	202403	202410	202400	202406	202491	202490	202491	202490	202407	202407	202406	202403	202404	202479	202405	202479	202402	202478	202479	202479	202478	202402	202479	202410	202408	202405	202475	202479	202475	202479	202480	0	202521	202521	202492	202498	202495	202493	202493	202495
V120_HEP5	20708	204200	21640	20617	204239	21097	10300	21228	21620	21623	21625	21624	21622	21633	21623	21632	21624	21619	21623	21630	21631	21626	10303	10302	10303	10302	21627	21627	21626	21623	21626	21891	21634	21891	21622	21890	21891	21891	21890	21622	21891	21630	21628	21627	21896	21891	21896	21891	21892	202521	0	26	20709	20704	10307	10305	10305	10307
V120_MEP4	20710	204200	21642	20619	204239	21099	10302	21230	21622	21625	21627	21626	21624	21635	21625	21634	21626	21621	21625	21632	21633	21628	10305	10304	10305	10304	21629	21629	21628	21625	21628	21893	21636	21893	21624	21892	21893	21893	21892	21624	21893	21632	21630	21629	21898	21893	21898	21893	21894	202521	26	0	20711	20706	10309	10307	10307	10309
V281_Mep1_BLSE2	33	204195	22037	17750	204258	21174	20534	20287	21774	21777	21779	21778	21776	21777	21777	21786	21778	21773	21777	21784	21775	21780	20537	20536	20537	20536	21781	21781	21780	21777	21780	22162	21778	22162	21776	22161	22162	22162	22161	21776	22162	21784	21782	21781	22157	22162	22157	22162	22163	202492	20709	20711	0	9	20541	20539	20539	20541
V281_Mep2_BLSE1	36	204201	22038	17747	204263	21171	20539	20284	21769	21772	21774	21773	21771	21782	21772	21781	21773	21768	21772	21779	21780	21775	20542	20541	20542	20541	21776	21776	21775	21772	21775	22159	21783	22159	21771	22158	22159	22159	22158	21771	22159	21779	21777	21776	22164	22159	22164	22159	22160	202498	20704	20706	9	0	20546	20544	20544	20546
X013	20542	204023	21601	20147	204072	20740	29	21008	21193	21196	21198	21197	21195	21198	21196	21205	21197	21192	21196	21203	21196	21199	32	31	32	31	21200	21200	21199	21196	21199	21956	21199	21956	21195	21955	21956	21956	21955	21195	21956	21203	21201	21200	21953	21956	21953	21956	21957	202495	10307	10309	20541	20546	0	2	2	4
X021A	20540	204021	21599	20145	204070	20738	27	21006	21191	21194	21196	21195	21193	21196	21194	21203	21195	21190	21194	21201	21194	21197	30	29	30	29	21198	21198	21197	21194	21197	21954	21197	21954	21193	21953	21954	21954	21953	21193	21954	21201	21199	21198	21951	21954	21951	21954	21955	202493	10305	10307	20539	20544	2	0	0	2
X021B	20540	204021	21599	20145	204070	20738	27	21006	21191	21194	21196	21195	21193	21196	21194	21203	21195	21190	21194	21201	21194	21197	30	29	30	29	21198	21198	21197	21194	21197	21954	21197	21954	21193	21953	21954	21954	21953	21193	21954	21201	21199	21198	21951	21954	21951	21954	21955	202493	10305	10307	20539	20544	2	0	0	2
X043	20542	204023	21601	20147	204072	20740	29	21008	21193	21196	21198	21197	21195	21198	21196	21205	21197	21192	21196	21203	21196	21199	32	31	32	31	21200	21200	21199	21196	21199	21956	21199	21956	21195	21955	21956	21956	21955	21195	21956	21203	21201	21200	21953	21956	21953	21956	21957	202495	10307	10309	20541	20546	4	2	2	0
